# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,1.040146799999999949e+01,0.000000000000000000e+00,4.865582500000000366e+00,1.186024800000000035e+01,7.563452700000000561e+01,0.000000000000000000e+00,1.352190800000000026e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.060607100000000003e+01,4.305817099999999925e-02,4.886678599999999761e+00,1.180830699999999922e+01,7.584008099999999786e+01,1.000323899999999988e-01,1.378789299999999995e+00,5.597600000000000318e-03
3.000000000000000000e+00,1.081041899999999956e+01,8.621653699999999587e-02,4.904381100000000160e+00,1.176507400000000025e+01,7.601146900000000528e+01,1.778504999999999947e-01,1.405354500000000062e+00,1.120810000000000035e-02
4.000000000000000000e+00,1.101526100000000064e+01,1.295853999999999895e-01,4.918954099999999663e+00,1.172972299999999990e+01,7.615181200000000672e+01,2.354828999999999950e-01,1.431983900000000087e+00,1.684609999999999927e-02
5.000000000000000000e+00,1.122125100000000053e+01,1.732604699999999998e-01,4.930679800000000057e+00,1.170143299999999975e+01,7.626424900000000662e+01,2.751183500000000115e-01,1.458762600000000020e+00,2.252389999999999948e-02
6.000000000000000000e+00,1.142892100000000077e+01,2.173169899999999877e-01,4.939867300000000405e+00,1.167936300000000038e+01,7.635204500000000394e+01,2.991518599999999917e-01,1.485759700000000016e+00,2.825120000000000062e-02
7.000000000000000000e+00,1.163865099999999941e+01,2.618034900000000276e-01,4.946862499999999940e+00,1.166261599999999987e+01,7.641871399999999426e+01,3.102679799999999988e-01,1.513024600000000053e+00,3.403450000000000225e-02
8.000000000000000000e+00,1.185063199999999917e+01,3.067349999999999799e-01,4.952058599999999977e+00,1.165020699999999998e+01,7.646813899999999364e+01,3.115165799999999874e-01,1.540582099999999954e+00,3.987559999999999716e-02
9.000000000000000000e+00,1.206482600000000005e+01,3.520859900000000153e-01,4.955906099999999981e+00,1.164103599999999972e+01,7.650468100000000504e+01,3.063863099999999950e-01,1.568427400000000027e+00,4.577119999999999800e-02
1.000000000000000000e+01,1.246606200000000086e+01,4.368866800000000272e-01,4.961013000000000339e+00,1.162888500000000036e+01,7.655311399999999367e+01,2.912603200000000170e-01,1.620587999999999917e+00,5.679529999999999995e-02
1.100000000000000000e+01,1.286782999999999966e+01,5.216126100000000321e-01,4.964615700000000409e+00,1.162032800000000066e+01,7.658723399999999515e+01,2.759166299999999961e-01,1.672817900000000080e+00,6.780959999999999765e-02
1.200000000000000000e+01,1.326998900000000070e+01,6.062585700000000521e-01,4.967349699999999757e+00,1.161384400000000028e+01,7.661309900000000539e+01,2.620094900000000115e-01,1.725098599999999927e+00,7.881359999999999755e-02
1.300000000000000000e+01,1.367246800000000029e+01,6.908330400000000093e-01,4.969521000000000299e+00,1.160869899999999966e+01,7.663362399999999752e+01,2.496889300000000034e-01,1.777420900000000081e+00,8.980829999999999369e-02
1.400000000000000000e+01,1.407521999999999984e+01,7.753451399999999882e-01,4.971301799999999993e+00,1.160448200000000085e+01,7.665044699999999978e+01,2.387992999999999921e-01,1.829778499999999974e+00,1.007949000000000067e-01
1.500000000000000000e+01,1.447820699999999938e+01,8.598028199999999677e-01,4.972797800000000379e+00,1.160094299999999912e+01,7.666457200000000682e+01,2.291365399999999997e-01,1.882166900000000087e+00,1.117743999999999960e-01
1.600000000000000000e+01,1.488140100000000032e+01,9.442127099999999551e-01,4.974078200000000116e+00,1.159791500000000042e+01,7.667665599999999415e+01,2.205119299999999949e-01,1.934582199999999919e+00,1.227477000000000013e-01
1.700000000000000000e+01,1.528478100000000062e+01,1.028580300000000003e+00,4.975190699999999744e+00,1.159528599999999976e+01,7.668715100000000007e+01,2.127655200000000135e-01,1.987021499999999996e+00,1.337154000000000120e-01
1.800000000000000000e+01,1.568832500000000074e+01,1.112910099999999902e+00,4.976169299999999573e+00,1.159297399999999989e+01,7.669638000000000488e+01,2.057653399999999910e-01,2.039482299999999970e+00,1.446783000000000097e-01
1.900000000000000000e+01,1.609201900000000052e+01,1.197205999999999992e+00,4.977039000000000435e+00,1.159092000000000056e+01,7.670458000000000709e+01,1.994033299999999898e-01,2.091962500000000169e+00,1.556367999999999918e-01
2.000000000000000000e+01,1.649585000000000079e+01,1.281471299999999980e+00,4.977818799999999655e+00,1.158907899999999991e+01,7.671192999999999529e+01,1.935908500000000088e-01,2.144460500000000103e+00,1.665912999999999977e-01
