# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.000000000000000000e+00,5.400000000000000000e+02,8.201000000000000227e+02,9.812999999999999545e+02,6.256000000000000227e+02,1.435831000000000000e+06,1.183000000000000000e+03,1.357080000000000064e+00,4.007019999999999804e+00,5.253250000000000419e+00,5.253250000000000419e+00,5.968999999999999861e-01,1.395100000000000007e+00,4.370120000000000005e+00,0.000000000000000000e+00,6.009999999999999717e-04,4.400000000000000265e-03,3.589999999999999984e-04,5.061589999999999812e+00,5.963509999999999645e-01,6.024000000000000058e-04,6.070999999999999574e-04,6.024000000000000058e-04,6.070999999999999574e-04,3.600000000000000227e-04,0.000000000000000000e+00
2.000000000000000000e+00,5.400000000000000000e+02,8.165000000000000000e+02,9.808999999999999773e+02,6.246000000000000227e+02,1.438674000000000000e+06,1.182000000000000000e+03,1.352919999999999900e+00,4.008020000000000138e+00,5.239959999999999951e+00,5.240039999999999587e+00,6.037000000000000144e-01,1.395000000000000018e+00,4.368769999999999598e+00,0.000000000000000000e+00,6.009999999999999717e-04,4.400000000000000265e-03,3.629999999999999872e-04,5.062750000000000306e+00,6.031619999999999759e-01,6.024000000000000058e-04,6.072000000000000140e-04,6.024000000000000058e-04,6.072000000000000140e-04,3.699999999999999947e-04,3.000000000000000062e-03
3.000000000000000000e+00,5.400000000000000000e+02,8.126000000000000227e+02,9.805000000000000000e+02,6.235000000000000000e+02,1.441364000000000000e+06,1.180000000000000000e+03,1.348440000000000083e+00,4.009220000000000006e+00,5.225859999999999950e+00,5.226119999999999877e+00,6.110999999999999766e-01,1.394900000000000029e+00,4.273340000000000138e+00,4.436999999999999972e-02,6.009999999999999717e-04,4.400000000000000265e-03,3.669999999999999760e-04,5.063959999999999795e+00,6.105300000000000171e-01,6.024999999999999540e-04,6.072000000000000140e-04,6.024999999999999540e-04,6.072000000000000140e-04,3.699999999999999947e-04,7.000000000000000146e-03
4.000000000000000000e+00,5.400000000000000000e+02,8.087999999999999545e+02,9.801000000000000227e+02,6.223999999999999773e+02,1.443669000000000000e+06,1.179000000000000000e+03,1.344019999999999992e+00,4.010390000000000121e+00,5.211859999999999715e+00,5.212410000000000210e+00,6.183999999999999497e-01,1.394900000000000029e+00,4.199010000000000353e+00,8.121000000000000441e-02,6.009999999999999717e-04,4.400000000000000265e-03,3.719999999999999891e-04,5.073310000000000208e+00,6.717680000000000318e-01,6.072000000000000140e-04,6.120999999999999705e-04,6.072000000000000140e-04,6.120999999999999705e-04,4.099999999999999912e-04,3.500000000000000333e-02
5.000000000000000000e+00,5.400000000000000000e+02,8.047000000000000455e+02,9.797000000000000455e+02,6.212000000000000455e+02,1.445783000000000000e+06,1.177000000000000000e+03,1.339210000000000012e+00,4.011689999999999756e+00,5.196699999999999875e+00,5.197689999999999699e+00,6.263999999999999568e-01,1.394800000000000040e+00,4.086649999999999672e+00,1.397700000000000053e-01,6.019999999999999961e-04,4.400000000000000265e-03,3.770000000000000022e-04,5.073310000000000208e+00,6.717680000000000318e-01,6.072000000000000140e-04,6.120999999999999705e-04,6.072000000000000140e-04,6.120999999999999705e-04,4.099999999999999912e-04,3.500000000000000333e-02
6.000000000000000000e+00,5.400000000000000000e+02,8.007000000000000455e+02,9.792999999999999545e+02,6.201000000000000227e+02,1.447454000000000000e+06,1.175000000000000000e+03,1.334570000000000034e+00,4.012920000000000265e+00,5.182019999999999627e+00,5.183569999999999567e+00,6.341999999999999860e-01,1.394700000000000051e+00,4.050629999999999953e+00,1.520700000000000107e-01,6.019999999999999961e-04,4.400000000000000265e-03,3.820000000000000153e-04,5.073310000000000208e+00,6.717680000000000318e-01,6.072000000000000140e-04,6.120999999999999705e-04,6.072000000000000140e-04,6.120999999999999705e-04,4.099999999999999912e-04,3.500000000000000333e-02
7.000000000000000000e+00,5.400000000000000000e+02,7.961000000000000227e+02,9.787999999999999545e+02,6.187000000000000455e+02,1.448943000000000000e+06,1.173000000000000000e+03,1.329239999999999977e+00,4.014680000000000248e+00,5.165569999999999773e+00,5.167860000000000120e+00,6.432999999999999829e-01,1.394500000000000073e+00,4.013289999999999580e+00,1.642200000000000049e-01,6.030000000000000204e-04,4.400000000000000265e-03,3.879999999999999985e-04,5.073310000000000208e+00,6.717680000000000318e-01,6.072000000000000140e-04,6.120999999999999705e-04,6.072000000000000140e-04,6.120999999999999705e-04,4.099999999999999912e-04,3.500000000000000333e-02
8.000000000000000000e+00,5.400000000000000000e+02,7.916000000000000227e+02,9.782999999999999545e+02,6.175000000000000000e+02,1.449973000000000000e+06,1.171000000000000000e+03,1.324009999999999909e+00,4.016479999999999606e+00,5.149510000000000254e+00,5.152669999999999639e+00,6.522000000000000020e-01,1.394400000000000084e+00,3.893930000000000113e+00,2.256499999999999895e-01,6.040000000000000447e-04,4.499999999999999660e-03,3.939999999999999817e-04,5.073310000000000208e+00,6.717680000000000318e-01,6.072000000000000140e-04,6.120999999999999705e-04,6.072000000000000140e-04,6.120999999999999705e-04,4.099999999999999912e-04,3.500000000000000333e-02
9.000000000000000000e+00,5.400000000000000000e+02,7.868999999999999773e+02,9.777999999999999545e+02,6.161000000000000227e+02,1.450620000000000000e+06,1.168000000000000000e+03,1.318419999999999925e+00,4.018410000000000259e+00,5.132349999999999746e+00,5.136569999999999858e+00,6.619000000000000439e-01,1.394300000000000095e+00,3.859490000000000087e+00,2.345399999999999985e-01,6.049999999999999606e-04,4.499999999999999660e-03,4.000000000000000192e-04,5.073310000000000208e+00,6.717680000000000318e-01,6.072000000000000140e-04,6.120999999999999705e-04,6.072000000000000140e-04,6.120999999999999705e-04,4.099999999999999912e-04,3.500000000000000333e-02
1.000000000000000000e+01,5.400000000000000000e+02,7.817999999999999545e+02,9.772999999999999545e+02,6.146000000000000227e+02,1.450814000000000000e+06,1.166000000000000000e+03,1.312440000000000051e+00,4.020749999999999602e+00,5.114340000000000330e+00,5.119790000000000063e+00,6.723000000000000087e-01,1.394200000000000106e+00,3.733849999999999891e+00,2.979700000000000126e-01,6.059999999999999849e-04,4.499999999999999660e-03,4.070000000000000267e-04,5.073310000000000208e+00,6.717680000000000318e-01,6.072000000000000140e-04,6.120999999999999705e-04,6.072000000000000140e-04,6.120999999999999705e-04,4.099999999999999912e-04,3.500000000000000333e-02
1.100000000000000000e+01,5.400000000000000000e+02,7.767000000000000455e+02,9.767999999999999545e+02,6.132000000000000455e+02,1.450518000000000000e+06,1.163000000000000000e+03,1.306459999999999955e+00,4.022979999999999556e+00,5.096149999999999736e+00,5.103019999999999889e+00,6.827999999999999625e-01,1.394099999999999895e+00,3.679409999999999847e+00,3.174000000000000155e-01,6.070000000000000092e-04,4.499999999999999660e-03,4.150000000000000043e-04,5.090189999999999770e+00,8.366109999999999935e-01,6.352000000000000441e-04,6.407000000000000152e-04,6.352000000000000441e-04,6.407000000000000152e-04,5.400000000000000069e-04,9.199999999999999845e-02
1.200000000000000000e+01,5.400000000000000000e+02,7.710000000000000000e+02,9.762000000000000455e+02,6.115000000000000000e+02,1.449612000000000000e+06,1.159000000000000000e+03,1.299660000000000037e+00,4.026010000000000311e+00,5.076080000000000148e+00,5.084640000000000271e+00,6.948999999999999622e-01,1.393999999999999906e+00,3.626240000000000130e+00,3.349500000000000255e-01,6.089999999999999494e-04,4.499999999999999660e-03,4.229999999999999819e-04,5.090189999999999770e+00,8.366109999999999935e-01,6.352000000000000441e-04,6.407000000000000152e-04,6.352000000000000441e-04,6.407000000000000152e-04,5.400000000000000069e-04,9.199999999999999845e-02
1.300000000000000000e+01,5.400000000000000000e+02,7.652000000000000455e+02,9.756000000000000227e+02,6.097999999999999545e+02,1.448085000000000000e+06,1.155000000000000000e+03,1.292699999999999960e+00,4.029250000000000220e+00,5.055649999999999977e+00,5.066169999999999618e+00,7.074000000000000288e-01,1.393899999999999917e+00,3.506889999999999841e+00,3.922200000000000131e-01,6.099999999999999737e-04,4.599999999999999922e-03,4.319999999999999838e-04,5.090189999999999770e+00,8.366109999999999935e-01,6.352000000000000441e-04,6.407000000000000152e-04,6.352000000000000441e-04,6.407000000000000152e-04,5.400000000000000069e-04,9.199999999999999845e-02
