# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
1.000000000000000000e+00,0.000000000000000000e+00,1.300370000000000137e-01,3.593000000000000057e-04,1.303964999999999985e-01,0.000000000000000000e+00,1.281684100000000104e+00,1.169700000000000080e-03,1.169700000000000080e-03,1.047163800000000089e+00,3.711380699999999866e+00,4.995700000000000141e-01,-5.245199999999999863e-01
2.000000000000000000e+00,3.413999999999999934e-03,1.300449999999999939e-01,3.633999999999999969e-04,1.304086999999999885e-01,4.412199999999999803e-03,1.257851999999999970e+00,1.230600000000000097e-03,5.642799999999999899e-03,1.059976599999999936e+00,3.793634899999999810e+00,4.919100000000000139e-01,-5.332200000000000273e-01
3.000000000000000000e+00,6.981000000000000226e-03,1.300689999999999902e-01,3.678999999999999979e-04,1.304366000000000136e-01,8.770399999999999377e-03,1.241320299999999932e+00,1.272099999999999967e-03,1.004249999999999934e-02,1.073660199999999953e+00,3.801724099999999940e+00,4.837899999999999978e-01,-5.313400000000000345e-01
4.000000000000000000e+00,1.055599999999999941e-02,1.301080000000000014e-01,3.723999999999999988e-04,1.304803999999999964e-01,1.327769999999999992e-02,1.277134400000000003e+00,1.324199999999999986e-03,1.460200000000000040e-02,1.087127299999999908e+00,3.823983300000000085e+00,4.758600000000000052e-01,-5.316999999999999504e-01
5.000000000000000000e+00,1.429899999999999921e-02,1.301670000000000049e-01,3.776000000000000168e-04,1.305441999999999991e-01,1.812129999999999991e-02,1.305408300000000077e+00,1.370700000000000087e-03,1.949199999999999891e-02,1.101661500000000071e+00,3.815517199999999942e+00,4.673900000000000277e-01,-5.277600000000000069e-01
6.000000000000000000e+00,1.802199999999999983e-02,1.302429999999999977e-01,3.826999999999999781e-04,1.306258999999999892e-01,2.302399999999999933e-02,1.318539600000000034e+00,1.428199999999999912e-03,2.445220000000000032e-02,1.115617800000000104e+00,3.873676199999999792e+00,4.593300000000000161e-01,-5.333400000000000363e-01
7.000000000000000000e+00,2.200300000000000172e-02,1.303449999999999886e-01,3.886000000000000131e-04,1.307338999999999862e-01,2.828079999999999830e-02,1.317437699999999934e+00,1.489700000000000052e-03,2.977049999999999835e-02,1.131572299999999975e+00,3.948158900000000138e+00,4.502200000000000091e-01,-5.407399999999999984e-01
8.000000000000000000e+00,2.600900000000000087e-02,1.304690000000000016e-01,3.945999999999999963e-04,1.308638000000000023e-01,3.354560000000000181e-02,1.306655799999999923e+00,1.536700000000000002e-03,3.508229999999999682e-02,1.147146900000000080e+00,3.931853199999999937e+00,4.414299999999999891e-01,-5.359199999999999520e-01
9.000000000000000000e+00,3.016900000000000137e-02,1.306200000000000139e-01,4.011999999999999941e-04,1.310213000000000072e-01,3.894929999999999920e-02,1.291315299999999944e+00,1.616199999999999928e-03,4.056549999999999739e-02,1.163695799999999947e+00,4.014571700000000298e+00,4.321999999999999731e-01,-5.446499999999999675e-01
1.000000000000000000e+01,3.450899999999999801e-02,1.308010000000000006e-01,4.083000000000000041e-04,1.312096000000000096e-01,4.451879999999999726e-02,1.282444700000000104e+00,1.667800000000000098e-03,4.618660000000000126e-02,1.181283700000000048e+00,4.001916500000000099e+00,4.225200000000000067e-01,-5.403200000000000225e-01
