# X_IN,Y_IN,DY_over_DX,ANGLE,D2Y_over_DX2
-8.999999999999999754e-04,1.303960000000000119e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.299511379999999994e+00
1.000000000000000056e-01,1.371390000000000109e-01,1.380703580000000041e-01,7.861146780000000334e+00,1.621819120000000058e+00
2.000000000000000111e-01,1.588110000000000077e-01,2.815029310000000118e-01,1.572206650000000039e+01,9.996221739999999745e-01
2.999999999999999889e-01,1.908219999999999916e-01,3.485697289999999948e-01,1.921700829999999982e+01,3.765026499999999943e-01
4.000000000000000222e-01,2.266450000000000131e-01,3.602072980000000091e-01,1.980939030000000045e+01,-4.502165570000000311e-02
5.000000000000000000e-01,2.622709999999999764e-01,3.501113000000000142e-01,1.929572710000000058e+01,-1.816775790000000057e-01
5.999999999999999778e-01,2.960769999999999791e-01,3.241052240000000251e-01,1.795778029999999958e+01,-2.886431250000000004e-01
6.999999999999999556e-01,3.270589999999999886e-01,2.957954540000000132e-01,1.647797759999999911e+01,-2.704562340000000176e-01
8.000000000000000444e-01,3.553520000000000012e-01,2.707456229999999908e-01,1.514938590000000040e+01,-2.310026930000000089e-01
9.000000000000000222e-01,3.813300000000000023e-01,2.493761039999999873e-01,1.400259469999999951e+01,-1.963876870000000052e-01
1.000000000000000000e+00,4.053309999999999969e-01,2.309760439999999915e-01,1.300586670000000034e+01,-1.750232780000000044e-01
1.100000000000000089e+00,4.275809999999999889e-01,2.143329459999999964e-01,1.209734440000000077e+01,-1.567222610000000016e-01
1.199999999999999956e+00,4.482689999999999730e-01,1.997830750000000044e-01,1.129798109999999944e+01,-1.342751620000000035e-01
1.300000000000000044e+00,4.676029999999999909e-01,1.870553590000000044e-01,1.059504240000000053e+01,-1.242375240000000020e-01
1.399999999999999911e+00,4.856949999999999878e-01,1.748428680000000124e-01,9.917509790000000436e+00,-1.200122920000000065e-01
1.500000000000000000e+00,5.025920000000000387e-01,1.632458539999999958e-01,9.271516200000000651e+00,-1.118789439999999941e-01
1.600000000000000089e+00,5.183710000000000262e-01,1.524655619999999989e-01,8.668873120000000654e+00,-1.038497460000000067e-01
1.699999999999999956e+00,5.331110000000000015e-01,1.424515430000000138e-01,8.107326660000000018e+00,-9.643063729999999667e-02
1.800000000000000044e+00,5.468859999999999832e-01,1.331638970000000033e-01,7.585104760000000113e+00,-8.992631189999999997e-02
1.899999999999999911e+00,5.597609999999999530e-01,1.244075699999999951e-01,7.091592369999999868e+00,-8.520023940000000240e-02
2.000000000000000000e+00,5.717830000000000412e-01,1.161224460000000042e-01,6.623660280000000178e+00,-8.054080850000000513e-02
2.100000000000000089e+00,5.829999999999999627e-01,1.082967590000000063e-01,6.180858899999999601e+00,-7.597292960000000261e-02
2.200000000000000178e+00,5.934580000000000410e-01,1.009301249999999955e-01,5.763352839999999588e+00,-7.130826219999999993e-02
2.299999999999999822e+00,6.032020000000000159e-01,9.403803299999999310e-02,5.372183899999999568e+00,-6.653357070000000262e-02
2.399999999999999911e+00,6.122809999999999642e-01,8.760425049999999436e-02,5.006572270000000380e+00,-6.252256840000000593e-02
2.500000000000000000e+00,6.207340000000000080e-01,8.151462959999999924e-02,4.660140829999999568e+00,-5.926984899999999945e-02
2.600000000000000089e+00,6.285950000000000149e-01,7.574929240000000119e-02,4.331842090000000312e+00,-5.605337409999999743e-02
2.700000000000000178e+00,6.358949999999999880e-01,7.030326789999999382e-02,4.021463820000000133e+00,-5.286711439999999818e-02
2.799999999999999822e+00,6.426659999999999595e-01,6.515878099999999895e-02,3.728053080000000019e+00,-5.023202160000000277e-02
2.899999999999999911e+00,6.489340000000000108e-01,6.025044899999999759e-02,3.447928339999999814e+00,-4.793461859999999936e-02
3.000000000000000000e+00,6.547239999999999727e-01,5.557905340000000166e-02,3.181172300000000064e+00,-4.544413709999999690e-02
3.100000000000000089e+00,6.600589999999999513e-01,5.116246099999999936e-02,2.928839360000000003e+00,-4.288771090000000064e-02
3.200000000000000178e+00,6.649639999999999995e-01,4.698656290000000069e-02,2.690153190000000194e+00,-4.064995130000000068e-02
3.299999999999999822e+00,6.694630000000000303e-01,4.303202600000000100e-02,2.464033300000000093e+00,-3.846899110000000233e-02
3.399999999999999911e+00,6.735780000000000101e-01,3.928752810000000345e-02,2.249852469999999993e+00,-3.642096789999999668e-02
3.500000000000000000e+00,6.773280000000000411e-01,3.574671850000000345e-02,2.047264380000000106e+00,-3.441150419999999821e-02
3.600000000000000089e+00,6.807339999999999502e-01,3.240461850000000282e-02,1.855998419999999927e+00,-3.243684110000000231e-02
3.700000000000000178e+00,6.838149999999999507e-01,2.925208489999999925e-02,1.675543199999999899e+00,-3.061382979999999893e-02
3.799999999999999822e+00,6.865900000000000336e-01,2.628201599999999832e-02,1.505502019999999996e+00,-2.878544229999999843e-02
3.899999999999999911e+00,6.890770000000000506e-01,2.349460249999999958e-02,1.345893959999999945e+00,-2.698688440000000105e-02
4.000000000000000000e+00,6.912949999999999928e-01,2.088151190000000004e-02,1.196248650000000024e+00,-2.527244320000000127e-02
4.099999999999999645e+00,6.932589999999999586e-01,1.844258229999999957e-02,1.056562350000000094e+00,-2.350614830000000155e-02
4.200000000000000178e+00,6.949889999999999679e-01,1.617531289999999886e-02,9.266963489999999748e-01,-2.184836370000000152e-02
4.299999999999999822e+00,6.965000000000000080e-01,1.408131829999999945e-02,8.067467900000000469e-01,-2.000757070000000123e-02
4.400000000000000355e+00,6.978109999999999591e-01,1.217055530000000010e-02,6.972870249999999492e-01,-1.820720929999999904e-02
4.500000000000000000e+00,6.989410000000000345e-01,1.044771679999999953e-02,5.985882989999999904e-01,-1.618806409999999987e-02
4.599999999999999645e+00,6.999079999999999746e-01,8.947940370000000837e-03,5.126655369999999490e-01,-1.370191699999999922e-02
4.700000000000000178e+00,7.007400000000000295e-01,7.728884469999999958e-03,4.428236429999999890e-01,-1.051550090000000041e-02
4.799999999999999822e+00,7.014660000000000339e-01,6.878073269999999961e-03,3.940783549999999913e-01,-6.375681319999999819e-03
4.900000000000000355e+00,7.021300000000000319e-01,6.455289470000000196e-03,3.698557049999999791e-01,-1.980042869999999993e-03
4.978073000000000192e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
5.099999999999999645e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
5.200000000000000178e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
5.299999999999999822e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
5.400000000000000355e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
5.500000000000000000e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
5.599999999999999645e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
5.700000000000000178e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
5.799999999999999822e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
5.900000000000000355e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
6.000000000000000000e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
6.099999999999999645e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
6.200000000000000178e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
6.299999999999999822e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
6.400000000000000355e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
6.500000000000000000e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
6.599999999999999645e+00,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
