# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
9.000000000000000000e+00,1.896492499999999914e-01,3.334288400000000041e-01,1.044655600000000018e+00,7.318688500000000374e+01,4.127853899999999743e-01,2.570569400000000115e-01,2.465439999999999993e-02,4.334570000000000090e-02
1.000000000000000000e+01,2.238767200000000013e-01,4.382243800000000244e-01,1.067000399999999960e+00,6.958764200000000244e+01,7.480046500000000487e-01,4.934292000000000122e-01,2.910400000000000140e-02,5.696919999999999762e-02
1.100000000000000000e+01,2.706389299999999998e-01,5.561741199999999941e-01,1.099325399999999897e+00,6.545685400000000698e+01,1.323254500000000000e+00,9.075675500000000007e-01,3.518310000000000187e-02,7.230259999999999465e-02
1.200000000000000000e+01,3.213727399999999901e-01,6.641163100000000430e-01,1.136559300000000050e+00,6.162409199999999743e+01,2.085168400000000144e+00,1.465214599999999923e+00,4.177850000000000313e-02,8.633509999999999796e-02
1.300000000000000000e+01,3.731326099999999757e-01,7.605065899999999823e-01,1.176999799999999929e+00,5.817012600000000333e+01,3.003070300000000081e+00,2.145828299999999800e+00,4.850720000000000032e-02,9.886590000000000655e-02
1.400000000000000000e+01,4.241089200000000003e-01,8.460279800000000128e-01,1.219534700000000083e+00,5.508328199999999697e+01,4.045432400000000150e+00,2.927686099999999847e+00,5.513420000000000126e-02,1.099836000000000008e-01
1.500000000000000000e+01,4.730256700000000092e-01,9.216151900000000285e-01,1.263280100000000017e+00,5.233435500000000218e+01,5.180065100000000200e+00,3.788263499999999784e+00,6.149330000000000074e-02,1.198099999999999998e-01
1.600000000000000000e+01,5.189595399999999970e-01,9.881369700000000034e-01,1.307478799999999941e+00,4.989193600000000117e+01,6.375468699999999878e+00,4.705205399999999649e+00,6.746470000000000244e-02,1.284578000000000109e-01
1.700000000000000000e+01,5.612678199999999729e-01,1.046367199999999942e+00,1.351468899999999973e+00,4.772593200000000024e+01,7.602176299999999998e+00,5.657253899999999724e+00,7.296479999999999633e-02,1.360277000000000014e-01
1.800000000000000000e+01,5.995499300000000087e-01,1.097009899999999982e+00,1.394678099999999921e+00,4.580827899999999886e+01,8.833855599999999697e+00,6.625014199999999853e+00,7.794149999999999689e-02,1.426112999999999964e-01
1.900000000000000000e+01,6.336177899999999585e-01,1.140727700000000011e+00,1.436626100000000017e+00,4.411296999999999713e+01,1.004808099999999982e+01,7.591510999999999676e+00,8.237029999999999352e-02,1.482945999999999986e-01
