# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,1.379797300000000071e+01,0.000000000000000000e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,1.793736500000000067e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.357959699999999970e+01,4.457517700000000055e-02,4.999896299999999627e+00,1.153720200000000062e+01,7.691924500000000364e+01,6.469960199999999712e-04,1.765347500000000069e+00,5.794800000000000124e-03
3.000000000000000000e+00,1.336274900000000088e+01,8.883111500000000216e-02,4.999194499999999763e+00,1.153884299999999996e+01,7.691267799999999966e+01,5.517658400000000074e-03,1.737157300000000015e+00,1.154799999999999924e-02
4.000000000000000000e+00,1.314711100000000066e+01,1.328170499999999921e-01,4.997357599999999955e+00,1.154314300000000060e+01,7.689548200000000122e+01,1.831118400000000118e-02,1.709124400000000099e+00,1.726619999999999891e-02
5.000000000000000000e+00,1.293218099999999993e+01,1.766109299999999993e-01,4.993907300000000049e+00,1.155122800000000005e+01,7.686315299999999695e+01,4.234784099999999718e-02,1.681183499999999942e+00,2.295940000000000134e-02
6.000000000000000000e+00,1.271730499999999964e+01,2.203130600000000050e-01,4.988414299999999635e+00,1.156412300000000037e+01,7.681161099999999919e+01,8.058632000000000295e-02,1.653249699999999933e+00,2.864070000000000157e-02
7.000000000000000000e+00,1.250171100000000024e+01,2.640402199999999922e-01,4.980488000000000248e+00,1.158278199999999991e+01,7.673707400000000689e+01,1.357076399999999905e-01,1.625222500000000014e+00,3.432520000000000016e-02
8.000000000000000000e+00,1.228453200000000045e+01,3.079200999999999744e-01,4.969766199999999579e+00,1.160811799999999927e+01,7.663594100000000253e+01,2.101914300000000124e-01,1.596989100000000050e+00,4.002959999999999852e-02
9.000000000000000000e+00,1.206482600000000005e+01,3.520859900000000153e-01,4.955906099999999981e+00,1.164103599999999972e+01,7.650468100000000504e+01,3.063863099999999950e-01,1.568427400000000027e+00,4.577119999999999800e-02
1.000000000000000000e+01,1.184160100000000071e+01,3.966716200000000025e-01,4.938576399999999644e+00,1.168245899999999970e+01,7.633972500000000139e+01,4.265739100000000006e-01,1.539408099999999946e+00,5.156730000000000341e-02
