# POINT,X,X_IN,Mach,DM_over_DX,D2M_over_DX2,D3M_over_DX3,W_Q_over_Astar,DW_over_DX,D2W_over_DX2,D3W_over_DX3
1.000000000000000000e+00,1.379796999999999940e+01,1.793739999999999890e+00,5.000000000000000000e+00,6.584545000000000580e-17,3.905181999999999995e-17,2.428889999999999869e-02,2.236067999999999945e+00,4.907830000000000177e-18,2.910750999999999989e-18,1.810388000000000015e-03
2.000000000000000000e+00,1.336124000000000045e+01,1.736960000000000059e+00,4.999668999999999919e+00,2.255794000000000202e-03,-1.019156000000000055e-02,2.238286999999999916e-02,2.236043000000000003e+00,1.681647999999999997e-04,-7.599494000000000258e-04,1.671167000000000095e-03
3.000000000000000000e+00,1.292784999999999940e+01,1.680620000000000003e+00,4.997436999999999685e+00,8.715491000000000557e-03,-1.948213999999999849e-02,2.049143999999999965e-02,2.235876999999999892e+00,6.504472999999999549e-04,-1.456810000000000006e-03,1.548331000000000013e-03
4.000000000000000000e+00,1.249787000000000070e+01,1.624719999999999942e+00,4.991623999999999839e+00,1.892881000000000077e-02,-2.788956999999999894e-02,1.861488999999999852e-02,2.235441999999999929e+00,1.416794000000000083e-03,-2.100919000000000137e-03,1.452795999999999905e-03
5.000000000000000000e+00,1.207136999999999993e+01,1.569280000000000008e+00,4.980779000000000067e+00,3.246051999999999965e-02,-3.543198000000000181e-02,1.675348999999999935e-02,2.234627999999999837e+00,2.442858999999999916e-03,-2.706230000000000007e-03,1.391791000000000078e-03
6.000000000000000000e+00,1.164840000000000053e+01,1.514289999999999914e+00,4.963675000000000281e+00,4.889059999999999934e-02,-4.212774999999999853e-02,1.490755000000000031e-02,2.233335999999999988e+00,3.711045000000000055e-03,-3.288868999999999820e-03,1.370038999999999979e-03
7.000000000000000000e+00,1.122905000000000086e+01,1.459780000000000078e+00,4.939289999999999736e+00,6.781428000000000456e-02,-4.799555999999999961e-02,1.307735999999999968e-02,2.231472999999999818e+00,5.211003999999999983e-03,-3.866216000000000010e-03,1.390806000000000073e-03
8.000000000000000000e+00,1.081338000000000044e+01,1.405739999999999990e+00,4.906804000000000165e+00,8.884218000000000670e-02,-5.305441000000000323e-02,1.126325000000000069e-02,2.228956000000000159e+00,6.939792999999999656e-03,-4.456411000000000400e-03,1.456756000000000023e-03
9.000000000000000000e+00,1.040146999999999977e+01,1.352190000000000003e+00,4.865582999999999991e+00,1.116004000000000024e-01,-5.732360000000000233e-02,9.465555999999999970e-03,2.225703000000000209e+00,8.901875999999999539e-03,-5.078179000000000373e-03,1.570613000000000000e-03
1.000000000000000000e+01,9.993399999999999395e+00,1.299139999999999961e+00,4.815166999999999753e+00,1.357308000000000126e-01,-6.082279000000000158e-02,7.684642000000000209e-03,2.221629000000000076e+00,1.110907000000000040e-02,-5.750906000000000073e-03,1.735655999999999918e-03
1.100000000000000000e+01,9.589270000000000849e+00,1.246599999999999930e+00,4.755266999999999911e+00,1.608910000000000062e-01,-6.357202000000000686e-02,5.920881999999999708e-03,2.216650000000000009e+00,1.358054000000000032e-02,-6.494864999999999840e-03,1.956083999999999861e-03
1.200000000000000000e+01,9.189159999999999329e+00,1.194590000000000041e+00,4.685745999999999967e+00,1.867543000000000120e-01,-6.559170000000000278e-02,4.174673999999999746e-03,2.210675000000000168e+00,1.634284999999999904e-02,-7.331545000000000076e-03,2.237258000000000215e-03
1.300000000000000000e+01,8.793160000000000309e+00,1.143110000000000070e+00,4.606611000000000011e+00,2.130103000000000135e-01,-6.690266000000000268e-02,2.446441000000000154e-03,2.203605000000000036e+00,1.943013999999999852e-02,-8.284036999999999304e-03,2.585856000000000092e-03
1.400000000000000000e+01,8.401389999999999247e+00,1.092179999999999929e+00,4.518004000000000353e+00,2.393649999999999944e-01,-6.752618000000000509e-02,7.366283000000000162e-04,2.195329999999999782e+00,2.288435999999999942e-02,-9.377411999999999900e-03,3.009906000000000127e-03
1.500000000000000000e+01,8.013949999999999463e+00,1.041809999999999903e+00,4.420193000000000261e+00,2.655406000000000155e-01,-6.748402000000000567e-02,-9.542876000000000483e-04,2.185728999999999811e+00,2.675562000000000079e-02,-1.063906000000000053e-02,3.518703000000000195e-03
1.600000000000000000e+01,7.630950000000000344e+00,9.920200000000000129e-01,4.313555000000000028e+00,2.912758999999999765e-01,-6.679843000000000586e-02,-2.625801000000000090e-03,2.174666999999999906e+00,3.110254000000000144e-02,-1.209892000000000085e-02,4.122530000000000118e-03
1.700000000000000000e+01,7.252519999999999634e+00,9.428299999999999459e-01,4.198572000000000415e+00,3.163269000000000220e-01,-6.549225999999999659e-02,-4.277371999999999772e-03,2.161992000000000136e+00,3.599252000000000007e-02,-1.378948999999999973e-02,4.832117999999999830e-03
1.800000000000000000e+01,6.878790000000000404e+00,8.942400000000000349e-01,4.075820000000000221e+00,3.404664000000000024e-01,-6.358890999999999849e-02,-5.908420999999999638e-03,2.147533999999999832e+00,4.150191999999999770e-02,-1.574555999999999872e-02,5.657717999999999949e-03
1.900000000000000000e+01,6.509909999999999641e+00,8.462899999999999867e-01,3.945953999999999962e+00,3.634845999999999910e-01,-6.111247000000000207e-02,-7.518328000000000337e-03,2.131104000000000109e+00,4.771584999999999716e-02,-1.800349000000000046e-02,6.607626000000000124e-03
2.000000000000000000e+01,6.146029999999999660e+00,7.989800000000000235e-01,3.809705000000000119e+00,3.851897000000000237e-01,-5.808772999999999714e-02,-9.106424999999999589e-03,2.112493999999999872e+00,5.472751000000000005e-02,-2.059973999999999833e-02,7.685970000000000302e-03
2.100000000000000000e+01,5.787309999999999732e+00,7.523499999999999632e-01,3.667864999999999931e+00,4.054074999999999762e-01,-5.454026000000000013e-02,-1.067198999999999925e-02,2.091474999999999973e+00,6.263665999999999678e-02,-2.356859999999999858e-02,8.889523999999999343e-03
2.200000000000000000e+01,5.433930000000000149e+00,7.064099999999999824e-01,3.521278999999999826e+00,4.239823999999999815e-01,-5.049651000000000139e-02,-1.221423999999999947e-02,2.067801999999999918e+00,7.154707000000000428e-02,-2.693863000000000160e-02,1.020335999999999986e-02
2.300000000000000000e+01,5.086090000000000444e+00,6.611900000000000555e-01,3.370833999999999886e+00,4.407775999999999916e-01,-4.598387999999999781e-02,-1.373230999999999931e-02,2.041211000000000109e+00,8.156236000000000042e-02,-3.072760000000000075e-02,1.159518000000000007e-02
2.400000000000000000e+01,4.743999999999999773e+00,6.167200000000000459e-01,3.217452999999999896e+00,4.556756000000000140e-01,-4.103083999999999898e-02,-1.522529000000000070e-02,2.011432000000000109e+00,9.277989000000000375e-02,-3.493567999999999674e-02,1.300845999999999947e-02
2.500000000000000000e+01,4.407899999999999707e+00,5.730300000000000393e-01,3.062079999999999913e+00,4.685785000000000089e-01,-3.566708999999999852e-02,-1.669214000000000114e-02,1.978189999999999893e+00,1.052823999999999982e-01,-3.953686000000000006e-02,1.435476999999999934e-02
2.600000000000000000e+01,4.078039999999999665e+00,5.301500000000000101e-01,2.905679000000000123e+00,4.794092999999999827e-01,-2.992366999999999944e-02,-1.813172000000000048e-02,1.941224000000000061e+00,1.191267000000000020e-01,-4.446867000000000181e-02,1.550646999999999963e-02
