# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,1.379797300000000071e+01,0.000000000000000000e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,1.793736500000000067e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.420622200000000035e+01,8.333333299999999555e-02,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,1.846808800000000028e+00,1.083330000000000057e-02
3.000000000000000000e+00,1.461447000000000074e+01,1.666666699999999890e-01,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,1.899881099999999989e+00,2.166670000000000054e-02
4.000000000000000000e+00,1.502271799999999935e+01,2.500000000000000000e-01,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,1.952953399999999951e+00,3.250000000000000111e-02
5.000000000000000000e+00,1.543096599999999974e+01,3.333333299999999833e-01,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.006025600000000075e+00,4.333329999999999821e-02
6.000000000000000000e+00,1.583921499999999938e+01,4.166666700000000167e-01,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.059097899999999814e+00,5.416669999999999818e-02
7.000000000000000000e+00,1.624746299999999977e+01,5.000000000000000000e-01,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.112170199999999998e+00,6.500000000000000222e-02
8.000000000000000000e+00,1.665571100000000015e+01,5.833333299999999833e-01,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.165242500000000181e+00,7.583330000000000626e-02
9.000000000000000000e+00,1.706396000000000157e+01,6.666666700000000167e-01,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.218314799999999920e+00,8.666669999999999929e-02
1.000000000000000000e+01,1.747220799999999841e+01,7.500000000000000000e-01,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.271386999999999823e+00,9.750000000000000333e-02
1.100000000000000000e+01,1.788045599999999880e+01,8.333333299999999833e-01,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.324459300000000006e+00,1.083332999999999935e-01
1.200000000000000000e+01,1.828870500000000021e+01,9.166666700000000167e-01,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.377531600000000189e+00,1.191667000000000004e-01
1.300000000000000000e+01,1.869695300000000060e+01,1.000000000000000000e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.430603899999999928e+00,1.300000000000000044e-01
1.400000000000000000e+01,1.910520100000000099e+01,1.083333300000000055e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.483676099999999831e+00,1.408332999999999946e-01
1.500000000000000000e+01,1.951344900000000138e+01,1.166666699999999945e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.536748400000000014e+00,1.516666999999999876e-01
1.600000000000000000e+01,1.992169799999999924e+01,1.250000000000000000e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.589820700000000198e+00,1.625000000000000056e-01
1.700000000000000000e+01,2.032994599999999963e+01,1.333333300000000055e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.642892999999999937e+00,1.733332999999999957e-01
1.800000000000000000e+01,2.073819400000000002e+01,1.416666699999999945e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.695965300000000120e+00,1.841666999999999887e-01
1.900000000000000000e+01,2.114644300000000143e+01,1.500000000000000000e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.749037500000000023e+00,1.950000000000000067e-01
2.000000000000000000e+01,2.155469099999999827e+01,1.583333300000000055e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.802109800000000206e+00,2.058332999999999968e-01
2.100000000000000000e+01,2.196293899999999866e+01,1.666666699999999945e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.855182099999999945e+00,2.166666999999999899e-01
2.200000000000000000e+01,2.237118699999999905e+01,1.750000000000000000e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.908254400000000128e+00,2.275000000000000078e-01
2.300000000000000000e+01,2.277943600000000046e+01,1.833333300000000055e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,2.961326600000000031e+00,2.383332999999999979e-01
2.400000000000000000e+01,2.318768400000000085e+01,1.916666699999999945e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,3.014398900000000214e+00,2.491666999999999910e-01
2.500000000000000000e+01,2.359593200000000124e+01,2.000000000000000000e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,3.067471199999999953e+00,2.600000000000000089e-01
2.600000000000000000e+01,2.400418099999999910e+01,2.083333300000000055e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,3.120543500000000137e+00,2.708332999999999990e-01
2.700000000000000000e+01,2.441242899999999949e+01,2.166666699999999945e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,3.173615799999999876e+00,2.816666999999999921e-01
2.800000000000000000e+01,2.482067699999999988e+01,2.250000000000000000e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,3.226687999999999779e+00,2.924999999999999822e-01
2.900000000000000000e+01,2.522892500000000027e+01,2.333333300000000055e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,3.279760299999999962e+00,3.033332999999999724e-01
3.000000000000000000e+01,2.563717400000000168e+01,2.416666699999999945e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,3.332832600000000145e+00,3.141667000000000209e-01
3.100000000000000000e+01,2.604542199999999852e+01,2.500000000000000000e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,3.385904899999999884e+00,3.250000000000000111e-01
