# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
1.000000000000000000e+00,0.000000000000000000e+00,1.000286500000000078e+00,1.047163800000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.666189299999999984e-01
2.000000000000000000e+00,2.626215200000000041e-02,1.000348599999999921e+00,1.059976599999999936e+00,2.527961899999999762e-01,4.412154500000000333e-03,1.635207599999999872e-01
3.000000000000000000e+00,5.370058400000000259e-02,1.000528400000000095e+00,1.073660199999999953e+00,5.024926800000000249e-01,8.770376599999999204e-03,1.613716400000000106e-01
4.000000000000000000e+00,8.119922899999999777e-02,1.000830700000000073e+00,1.087127299999999908e+00,7.607141299999999884e-01,1.327774599999999999e-02,1.660274700000000103e-01
5.000000000000000000e+00,1.099887199999999982e-01,1.001281800000000111e+00,1.101661500000000071e+00,1.038162800000000052e+00,1.812134300000000156e-02,1.697030800000000061e-01
6.000000000000000000e+00,1.386327300000000096e-01,1.001870700000000003e+00,1.115617800000000104e+00,1.318942999999999977e+00,2.302396500000000040e-02,1.714101399999999886e-01
7.000000000000000000e+00,1.692526400000000097e-01,1.002656299999999945e+00,1.131572299999999975e+00,1.619939500000000088e+00,2.828081400000000134e-02,1.712668999999999997e-01
8.000000000000000000e+00,2.000676799999999977e-01,1.003609200000000090e+00,1.147146900000000080e+00,1.921299499999999938e+00,3.354557600000000056e-02,1.698652499999999954e-01
9.000000000000000000e+00,2.320720900000000086e-01,1.004769999999999941e+00,1.163695799999999947e+00,2.230501199999999962e+00,3.894926800000000217e-02,1.678709800000000030e-01
1.000000000000000000e+01,2.654510900000000007e-01,1.006163399999999930e+00,1.181283700000000048e+00,2.549057700000000093e+00,4.451882599999999746e-02,1.667178099999999941e-01
1.100000000000000000e+01,2.995534499999999989e-01,1.007778300000000016e+00,1.198793199999999892e+00,2.873801700000000015e+00,5.019940600000000197e-02,1.668867500000000004e-01
1.200000000000000000e+01,3.358450399999999836e-01,1.009709900000000049e+00,1.218589499999999992e+00,3.220526099999999836e+00,5.626805499999999738e-02,1.680734299999999959e-01
1.300000000000000000e+01,3.734708299999999759e-01,1.011945700000000059e+00,1.238761100000000059e+00,3.583484200000000008e+00,6.262527599999999361e-02,1.702093500000000093e-01
1.400000000000000000e+01,4.130653200000000136e-01,1.014558800000000094e+00,1.260431199999999974e+00,3.970915100000000031e+00,6.941672000000000120e-02,1.725479900000000122e-01
1.500000000000000000e+01,4.549542400000000097e-01,1.017618200000000028e+00,1.283814900000000092e+00,4.385423900000000152e+00,7.668990400000000318e-02,1.744000599999999956e-01
1.600000000000000000e+01,4.989311399999999952e-01,1.021159499999999998e+00,1.308315700000000081e+00,4.824046899999999916e+00,8.439501900000000167e-02,1.759697899999999871e-01
1.700000000000000000e+01,5.459758399999999900e-01,1.025324499999999972e+00,1.335569100000000065e+00,5.296852699999999636e+00,9.271179200000000120e-02,1.778432100000000016e-01
1.800000000000000000e+01,5.957683599999999968e-01,1.030161099999999941e+00,1.364448499999999953e+00,5.802640000000000242e+00,1.016228500000000007e-01,1.813443899999999942e-01
1.900000000000000000e+01,6.490371600000000019e-01,1.035830199999999923e+00,1.396348700000000109e+00,6.357589199999999607e+00,1.114185099999999984e-01,1.876709000000000016e-01
2.000000000000000000e+01,7.058419900000000302e-01,1.042461800000000105e+00,1.431106900000000071e+00,6.973103700000000238e+00,1.223080799999999996e-01,1.963793500000000081e-01
2.100000000000000000e+01,7.666826700000000105e-01,1.050265699999999969e+00,1.468957800000000091e+00,7.663730199999999826e+00,1.345607600000000015e-01,2.069611100000000037e-01
2.200000000000000000e+01,8.320874799999999905e-01,1.059509100000000092e+00,1.511319999999999997e+00,8.446064299999999747e+00,1.484887599999999974e-01,2.152179600000000137e-01
2.300000000000000000e+01,9.023936700000000366e-01,1.070490100000000000e+00,1.558559100000000086e+00,9.301952099999999390e+00,1.637912599999999941e-01,2.157804000000000111e-01
2.400000000000000000e+01,9.782576699999999681e-01,1.083538399999999902e+00,1.611582800000000093e+00,1.020440400000000025e+01,1.800077499999999942e-01,2.073965000000000114e-01
2.500000000000000000e+01,1.060313800000000084e+00,1.099020200000000003e+00,1.672110200000000102e+00,1.111484899999999953e+01,1.964613500000000068e-01,1.932246099999999911e-01
2.600000000000000000e+01,1.332406500000000049e+00,1.159502500000000103e+00,1.901016500000000109e+00,1.362878700000000087e+01,2.424573600000000106e-01,1.520321500000000048e-01
2.700000000000000000e+01,1.747005700000000106e+00,1.272768499999999969e+00,2.198996199999999845e+00,1.642245000000000132e+01,2.947418199999999877e-01,1.045042699999999963e-01
2.800000000000000000e+01,2.254810899999999840e+00,1.435841900000000004e+00,2.422274900000000120e+00,1.848852300000000071e+01,3.343725900000000251e-01,5.497109800000000296e-02
2.900000000000000000e+01,2.845329700000000184e+00,1.642386399999999913e+00,2.622515100000000210e+00,1.934057800000000071e+01,3.509902899999999826e-01,1.222641099999999953e-02
3.000000000000000000e+01,3.519591699999999879e+00,1.879986900000000016e+00,2.812134599999999818e+00,1.913584699999999827e+01,3.469818700000000256e-01,-1.499314199999999923e-02
3.100000000000000000e+01,4.281183999999999656e+00,2.139596800000000076e+00,2.994261900000000143e+00,1.814808800000000133e+01,3.277796000000000043e-01,-3.006723999999999855e-02
3.200000000000000000e+01,5.133970299999999654e+00,2.406615299999999902e+00,3.169313600000000175e+00,1.656793499999999852e+01,2.975036600000000031e-01,-3.471843299999999993e-02
3.300000000000000000e+01,6.080348599999999770e+00,2.671772799999999837e+00,3.337769000000000208e+00,1.486739799999999967e+01,2.654702199999999790e-01,-3.117450000000000082e-02
3.400000000000000000e+01,7.121022199999999636e+00,2.931205799999999861e+00,3.499478499999999936e+00,1.328359700000000032e+01,2.360877200000000009e-01,-2.591359999999999844e-02
