# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.002233699999999894e+00,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan
2.000000000000000000e+00,2.625459999999999947e-02,1.000062100000000065e+00,1.002291199999999938e+00,1.000057399999999985e+00,1.000057399999999985e+00,-2.554860999999999938e-01,-1.234279999999999973e+02,-1.759397000000000044e-02
3.000000000000000000e+00,5.368520000000000236e-02,1.000241799999999959e+00,1.002476300000000098e+00,1.000240199999999913e+00,1.000240100000000076e+00,-1.045229999999999944e-02,-1.445220999999999911e+01,2.048936000000000160e-02
4.000000000000000000e+00,8.117599999999999816e-02,1.000544000000000100e+00,1.002788900000000094e+00,1.000549099999999969e+00,1.000548999999999911e+00,9.560832000000000011e-03,-4.187267000000000294e+00,1.272633999999999918e-02
5.000000000000000000e+00,1.099572000000000049e-01,1.000995000000000079e+00,1.003252299999999986e+00,1.001007500000000050e+00,1.001006999999999980e+00,9.445685000000000539e-03,-1.688498000000000054e+00,5.647934000000000287e-03
6.000000000000000000e+00,1.385929999999999940e-01,1.001583799999999913e+00,1.003848300000000027e+00,1.001600700000000010e+00,1.001599399999999918e+00,6.345479999999999697e-03,-8.443001999999999452e-01,1.299328999999999892e-03
7.000000000000000000e+00,1.692041999999999990e-01,1.002369199999999960e+00,1.004637100000000061e+00,1.002385800000000105e+00,1.002383000000000024e+00,3.443382999999999947e-03,-4.647182999999999731e-01,-9.328267000000000113e-04
8.000000000000000000e+00,2.000104000000000048e-01,1.003321700000000094e+00,1.005592700000000006e+00,1.003333699999999995e+00,1.003328100000000056e+00,1.492622999999999997e-03,-2.823309999999999986e-01,-1.754095999999999910e-03
9.000000000000000000e+00,2.320056000000000063e-01,1.004482199999999992e+00,1.006752099999999928e+00,1.004485599999999978e+00,1.004475500000000077e+00,2.660814000000000169e-04,-1.814973000000000003e-01,-1.744267999999999990e-03
1.000000000000000000e+01,2.653750999999999749e-01,1.005875199999999969e+00,1.008147899999999986e+00,1.005868699999999949e+00,1.005851499999999898e+00,-3.479326999999999832e-04,-1.219578999999999941e-01,-1.370983000000000097e-03
1.100000000000000000e+01,2.994676000000000005e-01,1.007489599999999985e+00,1.009764899999999965e+00,1.007473400000000074e+00,1.007445700000000111e+00,-6.035972999999999816e-04,-8.532501000000000668e-02,-1.070951000000000108e-03
1.200000000000000000e+01,3.357488000000000139e-01,1.009420699999999949e+00,1.011701399999999973e+00,1.009393900000000066e+00,1.009350200000000086e+00,-7.079512999999999518e-04,-6.096605000000000080e-02,-9.164133999999999561e-04
1.300000000000000000e+01,3.733639000000000263e-01,1.011655900000000052e+00,1.013948800000000094e+00,1.011616700000000035e+00,1.011549999999999949e+00,-7.524225999999999744e-04,-4.480669999999999792e-02,-9.516130000000000248e-04
1.400000000000000000e+01,4.129470000000000085e-01,1.014268200000000064e+00,1.016572100000000090e+00,1.014210400000000067e+00,1.014110899999999926e+00,-8.207619000000000199e-04,-3.353807000000000316e-02,-1.157636999999999989e-03
1.500000000000000000e+01,4.548239000000000032e-01,1.017326699999999917e+00,1.019643099999999913e+00,1.017238700000000051e+00,1.017092700000000072e+00,-9.350582999999999985e-04,-2.555427999999999866e-02,-1.427529000000000081e-03
1.600000000000000000e+01,4.987882000000000149e-01,1.020866999999999969e+00,1.023192600000000008e+00,1.020732500000000043e+00,1.020521900000000093e+00,-1.084274999999999996e-03,-1.982454999999999981e-02,-1.693058000000000106e-03
1.700000000000000000e+01,5.458195000000000130e-01,1.025030799999999909e+00,1.027365599999999990e+00,1.024826599999999921e+00,1.024525799999999931e+00,-1.256132999999999989e-03,-1.561398999999999947e-02,-1.948943999999999980e-03
1.800000000000000000e+01,5.955977000000000077e-01,1.029865999999999948e+00,1.032212799999999930e+00,1.029561399999999960e+00,1.029136899999999910e+00,-1.441926000000000058e-03,-1.254936000000000072e-02,-2.214377000000000012e-03
1.900000000000000000e+01,6.488513000000000197e-01,1.035533500000000107e+00,1.037893299999999908e+00,1.035083999999999893e+00,1.034489200000000109e+00,-1.645504000000000107e-03,-1.028397999999999986e-02,-2.594279000000000116e-03
2.000000000000000000e+01,7.056398000000000392e-01,1.042163200000000067e+00,1.044531099999999935e+00,1.041493999999999920e+00,1.040667100000000067e+00,-1.904852000000000064e-03,-8.643926999999999167e-03,-3.147342999999999929e-03
2.100000000000000000e+01,7.664630999999999528e-01,1.049964899999999979e+00,1.052311500000000066e+00,1.048955499999999930e+00,1.047812500000000036e+00,-2.241756000000000131e-03,-7.453449000000000012e-03,-3.867980000000000029e-03
2.200000000000000000e+01,8.318491000000000080e-01,1.059205699999999917e+00,1.061470600000000042e+00,1.057664399999999949e+00,1.056091300000000066e+00,-2.677545999999999832e-03,-6.612324000000000153e-03,-4.743553000000000179e-03
2.300000000000000000e+01,9.021352000000000260e-01,1.070183499999999954e+00,1.072277900000000006e+00,1.067820699999999956e+00,1.065664699999999909e+00,-3.218208000000000180e-03,-6.070850000000000031e-03,-5.502828999999999880e-03
2.400000000000000000e+01,9.779775000000000551e-01,1.083228000000000080e+00,1.085103300000000104e+00,1.079703300000000032e+00,1.076757500000000034e+00,-3.768222999999999798e-03,-5.773056999999999842e-03,-5.928759999999999933e-03
2.500000000000000000e+01,1.060010099999999955e+00,1.098705400000000054e+00,1.100415900000000002e+00,1.093635099999999971e+00,1.089619300000000068e+00,-4.256999000000000026e-03,-5.693137000000000024e-03,-5.871789999999999995e-03
2.600000000000000000e+01,1.332024899999999956e+00,1.159170299999999987e+00,1.164208600000000038e+00,1.147857499999999975e+00,1.138294799999999940e+00,-4.786676000000000125e-03,-6.918475999999999793e-03,-3.842514999999999906e-03
2.700000000000000000e+01,1.746505299999999927e+00,1.272404000000000091e+00,1.292749499999999996e+00,1.254190099999999974e+00,1.228161300000000011e+00,-3.418954999999999998e-03,-7.238033999999999961e-03,-3.997008999999999935e-04
2.800000000000000000e+01,2.254165099999999811e+00,1.435430599999999890e+00,1.471131799999999989e+00,1.423438399999999993e+00,1.358998399999999940e+00,-1.046992000000000061e-03,-4.163912999999999989e-03,2.710717999999999982e-03
2.900000000000000000e+01,2.844514799999999788e+00,1.641915999999999931e+00,1.680729899999999999e+00,1.674271999999999982e+00,1.532496000000000080e+00,1.405821999999999931e-03,-2.805848000000000109e-04,5.071128000000000267e-03
3.000000000000000000e+01,3.518583599999999922e+00,1.879448400000000019e+00,1.910587199999999930e+00,2.031702500000000189e+00,1.750258599999999998e+00,3.495148000000000005e-03,2.780325000000000157e-03,6.446967999999999969e-03
3.100000000000000000e+01,4.279957800000000034e+00,2.138984000000000218e+00,2.155498000000000136e+00,2.526503200000000060e+00,2.013208000000000109e+00,4.942819999999999679e-03,4.732183000000000049e-03,7.015793000000000203e-03
3.200000000000000000e+01,5.132499799999999723e+00,2.405925900000000173e+00,2.409642900000000143e+00,3.195212900000000023e+00,2.321728999999999932e+00,5.837784999999999849e-03,5.810293000000000228e-03,7.059717000000000076e-03
3.300000000000000000e+01,6.078606999999999871e+00,2.671007499999999979e+00,2.667974500000000138e+00,4.079121999999999915e+00,2.675489499999999854e+00,6.269397000000000338e-03,6.282900999999999590e-03,6.744626000000000093e-03
3.400000000000000000e+01,7.118982500000000435e+00,2.930366199999999921e+00,2.925398400000000176e+00,5.223326000000000136e+00,3.073540599999999845e+00,6.355396999999999609e-03,6.369165999999999890e-03,6.251058999999999782e-03
3.500000000000000000e+01,8.252042299999999386e+00,3.181571899999999786e+00,3.177164400000000111e+00,6.674683500000000436e+00,3.514166599999999807e+00,6.216244999999999583e-03,6.224089000000000357e-03,5.706428999999999842e-03
3.600000000000000000e+01,9.473424100000000792e+00,3.421589700000000178e+00,3.418948400000000110e+00,8.478813600000000505e+00,3.994699900000000081e+00,5.948278000000000419e-03,5.951385000000000008e-03,5.174309000000000200e-03
3.700000000000000000e+01,1.077579479999999990e+01,3.648657500000000109e+00,3.646804299999999888e+00,1.067647949999999923e+01,4.511425400000000252e+00,5.616590999999999771e-03,5.618071999999999996e-03,4.684640999999999805e-03
3.800000000000000000e+01,1.214933109999999949e+01,3.859083099999999877e+00,3.857741100000000145e+00,1.330052060000000047e+01,5.059747100000000053e+00,5.264790000000000095e-03,5.265538000000000163e-03,4.248545999999999746e-03
3.900000000000000000e+01,1.358096699999999935e+01,4.050202999999999776e+00,4.049266300000000207e+00,1.637022199999999827e+01,5.633865799999999702e+00,4.918348999999999811e-03,4.918722000000000372e-03,3.865322999999999936e-03
4.000000000000000000e+01,1.505625080000000082e+01,4.220805300000000315e+00,4.220085100000000367e+00,1.989089059999999876e+01,6.227502000000000315e+00,4.591142999999999787e-03,4.591353999999999748e-03,3.531718000000000097e-03
4.100000000000000000e+01,1.655833150000000131e+01,4.369988600000000112e+00,4.369485700000000250e+00,2.384819530000000043e+01,6.833475700000000153e+00,4.290414000000000207e-03,4.290524999999999894e-03,3.243292000000000050e-03
4.200000000000000000e+01,1.807037959999999899e+01,4.497960499999999584e+00,4.497828100000000440e+00,2.821155159999999995e+01,7.444669400000000437e+00,4.018792000000000197e-03,4.018813999999999893e-03,2.994600000000000040e-03
4.300000000000000000e+01,1.957488340000000093e+01,4.605896200000000107e+00,4.605976199999999743e+00,3.293133819999999901e+01,8.053736799999999363e+00,3.776410000000000010e-03,3.776399000000000162e-03,2.780673999999999906e-03
4.400000000000000000e+01,2.105544039999999839e+01,4.695299399999999679e+00,4.695480899999999735e+00,3.794429740000000351e+01,8.653819699999999671e+00,3.561931999999999859e-03,3.561911999999999977e-03,2.596916999999999802e-03
