# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,3.091374800000000200e-01,0.000000000000000000e+00,1.084777799999999903e+00,6.719772199999999884e+01,1.052907400000000049e+00,0.000000000000000000e+00,4.018789999999999862e-02,0.000000000000000000e+00
2.000000000000000000e+00,2.919817299999999949e-01,4.167860400000000104e-02,1.077671800000000069e+00,6.811384099999999364e+01,9.274351299999999965e-01,6.137282899999999680e-02,3.795760000000000106e-02,5.418199999999999752e-03
3.000000000000000000e+00,2.755367899999999759e-01,8.335720900000000155e-02,1.071213699999999935e+00,6.899043500000000506e+01,8.174978400000000311e-01,1.124941099999999944e-01,3.581979999999999886e-02,1.083639999999999950e-02
4.000000000000000000e+00,2.597680600000000228e-01,1.250358099999999972e-01,1.065377199999999913e+00,6.982352500000000362e+01,7.217218800000000378e-01,1.543945499999999915e-01,3.376980000000000259e-02,1.625470000000000040e-02
5.000000000000000000e+00,2.446380200000000116e-01,1.667144200000000021e-01,1.060136900000000049e+00,7.060892099999999516e+01,6.388125900000000135e-01,1.880396799999999868e-01,3.180290000000000200e-02,2.167289999999999842e-02
6.000000000000000000e+00,2.301061500000000093e-01,2.083930200000000121e-01,1.055468400000000084e+00,7.134228400000000647e+01,5.675551699999999977e-01,2.143295299999999903e-01,2.991380000000000081e-02,2.709109999999999990e-02
7.000000000000000000e+00,2.161289100000000074e-01,2.500716299999999892e-01,1.051347599999999938e+00,7.201922799999999825e+01,5.068164099999999950e-01,2.340974899999999914e-01,2.809680000000000163e-02,3.250929999999999792e-02
8.000000000000000000e+00,2.026597400000000049e-01,2.917502299999999993e-01,1.047751099999999935e+00,7.263544899999999416e+01,4.555472199999999749e-01,2.481085199999999991e-01,2.634579999999999908e-02,3.792750000000000288e-02
9.000000000000000000e+00,1.896492499999999914e-01,3.334288400000000041e-01,1.044655600000000018e+00,7.318688500000000374e+01,4.127853899999999743e-01,2.570569400000000115e-01,2.465439999999999993e-02,4.334570000000000090e-02
1.000000000000000000e+01,1.770454499999999931e-01,3.751074400000000142e-01,1.042038199999999915e+00,7.366989599999999427e+01,3.776585199999999976e-01,2.615642100000000192e-01,2.301589999999999886e-02,4.876400000000000179e-02
1.100000000000000000e+01,1.647941500000000004e-01,4.167860400000000243e-01,1.039876599999999929e+00,7.408146000000000697e+01,3.493863999999999859e-01,2.621771299999999805e-01,2.142319999999999988e-02,5.418219999999999981e-02
1.200000000000000000e+01,1.528394499999999878e-01,4.584646499999999736e-01,1.038148499999999919e+00,7.441935399999999845e+01,3.272827400000000164e-01,2.593666099999999974e-01,1.986910000000000065e-02,5.960039999999999782e-02
1.300000000000000000e+01,1.411243899999999885e-01,5.001432500000000392e-01,1.036832500000000046e+00,7.468230800000000613e+01,3.107556100000000154e-01,2.535275699999999799e-01,1.834620000000000001e-02,6.501859999999999584e-02
1.400000000000000000e+01,1.295916699999999921e-01,5.418218599999999885e-01,1.035908100000000109e+00,7.487010499999999524e+01,2.993065599999999993e-01,2.449800099999999980e-01,1.684690000000000146e-02,7.043679999999999386e-02
1.500000000000000000e+01,1.181844100000000036e-01,5.835004599999999986e-01,1.035355599999999932e+00,7.498360300000000223e+01,2.925282000000000160e-01,2.339714400000000027e-01,1.536399999999999919e-02,7.585509999999999475e-02
1.600000000000000000e+01,1.068469199999999980e-01,6.251790699999999479e-01,1.035156699999999930e+00,7.502469100000000424e+01,2.901003799999999910e-01,2.206804800000000122e-01,1.389010000000000071e-02,8.127330000000000665e-02
1.700000000000000000e+01,9.552536400000000150e-02,6.668576699999999580e-01,1.035294799999999960e+00,7.499615300000000673e+01,2.917851799999999773e-01,2.052214400000000050e-01,1.241830000000000017e-02,8.669150000000000467e-02
1.800000000000000000e+01,8.416834099999999375e-02,7.085362800000000183e-01,1.035754800000000087e+00,7.490149700000000621e+01,2.974211600000000177e-01,1.876494900000000021e-01,1.094189999999999920e-02,9.210970000000000268e-02
1.900000000000000000e+01,7.272732299999999650e-02,7.502148800000000284e-01,1.036523800000000106e+00,7.474473600000000317e+01,3.069171800000000117e-01,1.679660799999999898e-01,9.454600000000000504e-03,9.752790000000000070e-02
2.000000000000000000e+01,6.115691999999999656e-02,7.918934899999999777e-01,1.037590800000000035e+00,7.453017199999999320e+01,3.202464999999999895e-01,1.461240600000000001e-01,7.950399999999999828e-03,1.029462000000000016e-01
2.100000000000000000e+01,4.941500000000000059e-02,8.335720899999999878e-01,1.038947000000000065e+00,7.426219199999999887e+01,3.374411500000000230e-01,1.220323600000000064e-01,6.423899999999999749e-03,1.083643999999999996e-01
2.200000000000000000e+01,3.746267600000000031e-02,8.752506899999999979e-01,1.040585799999999894e+00,7.394510300000000314e+01,3.585872999999999977e-01,9.555985399999999963e-02,4.870099999999999603e-03,1.137825999999999976e-01
2.300000000000000000e+01,2.526418399999999856e-02,9.169292999999999472e-01,1.042502700000000004e+00,7.358299599999999430e+01,3.838213799999999898e-01,6.653828000000000520e-02,3.284299999999999980e-03,1.192007999999999956e-01
2.400000000000000000e+01,1.278668300000000008e-02,9.586078999999999573e-01,1.044695399999999941e+00,7.317965599999999426e+01,4.133274399999999904e-01,3.476420699999999836e-02,1.662300000000000019e-03,1.246189999999999937e-01
2.500000000000000000e+01,0.000000000000000000e+00,1.000286500000000078e+00,1.047163800000000089e+00,7.273850600000000099e+01,4.473354600000000181e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.300371999999999917e-01
