# X_over_Ystar,W,WP,WPP,M,MP,MPP
0.000000000000000000e+00,9.638516400000000095e-01,3.413611799999999863e-01,2.832843600000000024e-03,9.570812699999999840e-01,4.010617499999999946e-01,8.139466400000000545e-02
1.000000000000000056e-01,9.979894200000000160e-01,3.412693500000000268e-01,-4.669476500000000266e-03,9.975887599999999633e-01,4.090301800000000210e-01,7.792155800000000188e-02
2.000000000000000111e-01,1.032080499999999956e+00,3.404272799999999988e-01,-1.217179699999999982e-02,1.038875200000000110e+00,4.166342599999999785e-01,7.409398400000000162e-02
2.999999999999999889e-01,1.066049900000000106e+00,3.388349900000000026e-01,-1.967411700000000138e-02,1.080902199999999924e+00,4.238342700000000129e-01,6.982501200000000574e-02
3.091374800000000200e-01,1.069145100000000070e+00,3.386520800000000220e-01,-2.035963999999999829e-02,1.084777799999999903e+00,4.244704100000000202e-01,6.940965600000000013e-02
4.000000000000000222e-01,1.099822499999999925e+00,3.364924599999999932e-01,-2.717643700000000120e-02,1.123626900000000095e+00,4.305813499999999738e-01,6.501836299999999569e-02
5.000000000000000000e-01,1.133323400000000092e+00,3.333997000000000210e-01,-3.467875699999999756e-02,1.167001399999999967e+00,4.368164999999999965e-01,5.956793400000000294e-02
5.999999999999999778e-01,1.166477399999999998e+00,3.295567099999999749e-01,-4.218107699999999738e-02,1.210970799999999903e+00,4.424696200000000079e-01,5.335750100000000162e-02
6.999999999999999556e-01,1.199209699999999934e+00,3.249634900000000215e-01,-4.968339699999999720e-02,1.255473199999999956e+00,4.474584600000000023e-01,4.626068299999999689e-02
8.000000000000000444e-01,1.231445099999999959e+00,3.196200299999999994e-01,-5.718571699999999702e-02,1.300437199999999960e+00,4.516876799999999803e-01,3.814126300000000164e-02
9.000000000000000222e-01,1.263108700000000084e+00,3.135263400000000145e-01,-6.468803800000000326e-02,1.345781700000000081e+00,4.550478000000000023e-01,2.885401300000000127e-02
1.000000000000000000e+00,1.294125399999999981e+00,3.066824200000000111e-01,-7.219035799999999614e-02,1.391413699999999976e+00,4.574144600000000227e-01,1.824617699999999884e-02
