# POINT,X,Y_CALC,Y_IN,DIFF,POINT1
1.000000000000000000e+00,0.000000000000000000e+00,1.000286500000000078e+00,1.000286500000000078e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,2.626219999999999943e-02,1.000348599999999921e+00,1.000327799999999989e+00,2.080000000000000075e-05,2.000000000000000000e+00
3.000000000000000000e+00,5.370060000000000111e-02,1.000528400000000095e+00,1.000518900000000100e+00,9.399999999999999786e-06,3.000000000000000000e+00
4.000000000000000000e+00,8.119919999999999916e-02,1.000830700000000073e+00,1.000839299999999987e+00,-8.600000000000000670e-06,4.000000000000000000e+00
5.000000000000000000e+00,1.099886999999999948e-01,1.001281800000000111e+00,1.001315100000000013e+00,-3.330000000000000305e-05,5.000000000000000000e+00
6.000000000000000000e+00,1.386326999999999976e-01,1.001870700000000003e+00,1.001848599999999978e+00,2.209999999999999847e-05,6.000000000000000000e+00
7.000000000000000000e+00,1.692526000000000030e-01,1.002656299999999945e+00,1.002638700000000105e+00,1.769999999999999994e-05,7.000000000000000000e+00
8.000000000000000000e+00,2.000676999999999872e-01,1.003609200000000090e+00,1.003620500000000026e+00,-1.130000000000000023e-05,8.000000000000000000e+00
9.000000000000000000e+00,2.320721000000000034e-01,1.004769999999999941e+00,1.004787300000000050e+00,-1.730000000000000038e-05,9.000000000000000000e+00
1.000000000000000000e+01,2.654510999999999954e-01,1.006163399999999930e+00,1.006198600000000054e+00,-3.529999999999999745e-05,1.000000000000000000e+01
1.100000000000000000e+01,2.995534000000000252e-01,1.007778300000000016e+00,1.007853300000000063e+00,-7.499999999999999343e-05,1.100000000000000000e+01
1.200000000000000000e+01,3.358450000000000046e-01,1.009709900000000049e+00,1.009664899999999976e+00,4.509999999999999849e-05,1.200000000000000000e+01
1.300000000000000000e+01,3.734707999999999917e-01,1.011945700000000059e+00,1.011941200000000096e+00,4.500000000000000114e-06,1.300000000000000000e+01
1.400000000000000000e+01,4.130653000000000241e-01,1.014558800000000094e+00,1.014574199999999982e+00,-1.540000000000000163e-05,1.400000000000000000e+01
